idrisk,date,time,temperature,pressure,wind,humidity,weather,idname
516096,2017-06-16,16:43:18,16,1013,18,93,Precipitation,Zone 7
79017,2017-06-12,05:16:21,16,1013,18,93,Rain,Zone 1
515885,2017-06-16,16:29:03,16,1013,18,93,Precipitation,Zone 7
304414,2017-06-15,14:13:59,8.6,1022,0,99,Fog,Zone 9
252224,2017-06-13,02:55:59,8.6,1022,0,99,Fog,Zone 5
68059,2017-06-11,16:49:21,8.6,1022,0,99,Fog,Zone 5
153206,2017-06-15,17:34:21,16,1013,18,93,Rain,Zone 9
542007,2017-06-17,22:10:18,16,1013,18,93,Precipitation,Zone 5
372848,2017-06-12,20:55:35,16,1013,18,93,Drizzle,Zone 6
173076,2017-06-16,16:09:36,16,1013,18,93,Rain,Zone 6
351958,2017-06-17,20:16:14,16,1013,18,93,Drizzle,Zone 5
258406,2017-06-13,09:57:29,8.6,1022,0,99,Fog,Zone 4
164927,2017-06-16,06:53:51,16,1013,18,93,Rain,Zone 5
96163,2017-06-13,00:44:51,16,1013,18,93,Rain,Zone 7
279724,2017-06-14,10:10:59,8.6,1022,0,99,Fog,Zone 7
453665,2017-06-13,17:47:03,16,1013,18,93,Precipitation,Zone 8
230831,2017-06-12,02:37:14,8.6,1022,0,99,Fog,Zone 5
322652,2017-06-16,10:57:29,8.6,1022,0,99,Fog,Zone 6
284955,2017-06-14,16:07:14,8.6,1022,0,99,Fog,Zone 6
395201,2017-06-13,22:19:35,16,1013,18,93,Drizzle,Zone 7
494216,2017-06-15,15:51:33,16,1013,18,93,Precipitation,Zone 5
360399,2017-06-18,05:51:29,16,1013,18,93,Drizzle,Zone 8
424829,2017-06-15,07:59:20,16,1013,18,93,Drizzle,Zone 2
380619,2017-06-13,05:45:05,16,1013,18,93,Drizzle,Zone 7
147188,2017-06-15,10:44:06,16,1013,18,93,Rain,Zone 5
297412,2017-06-15,06:16:59,8.6,1022,0,99,Fog,Zone 9
279572,2017-06-14,10:00:29,8.6,1022,0,99,Fog,Zone 7
279934,2017-06-14,10:25:14,8.6,1022,0,99,Fog,Zone 4
232296,2017-06-12,04:16:59,8.6,1022,0,99,Fog,Zone 5
121469,2017-06-14,05:30:36,16,1013,18,93,Rain,Zone 4
354588,2017-06-17,23:15:29,16,1013,18,93,Drizzle,Zone 8
365785,2017-06-12,12:54:05,16,1013,18,93,Drizzle,Zone 2
212022,2017-06-18,12:24:36,8.6,1022,0,99,Fog,Zone 5
187369,2017-06-17,08:23:51,8.6,1022,0,99,Fog,Zone 4
293627,2017-06-15,01:58:59,8.6,1022,0,99,Fog,Zone 8
276190,2017-06-14,06:10:14,8.6,1022,0,99,Fog,Zone 5
502534,2017-06-16,01:18:33,16,1013,18,93,Precipitation,Zone 2
492301,2017-06-15,13:41:03,16,1013,18,93,Precipitation,Zone 9
473273,2017-06-14,16:03:33,16,1013,18,93,Precipitation,Zone 2
500618,2017-06-15,23:08:03,16,1013,18,93,Precipitation,Zone 5
473642,2017-06-14,16:29:03,16,1013,18,93,Precipitation,Zone 2
301224,2017-06-15,10:36:29,8.6,1022,0,99,Fog,Zone 5
331027,2017-06-16,20:28:59,16,1013,18,93,Drizzle,Zone 5
470228,2017-06-14,12:35:48,16,1013,18,93,Precipitation,Zone 1
370436,2017-06-12,18:10:35,16,1013,18,93,Drizzle,Zone 6
398969,2017-06-14,02:36:05,16,1013,18,93,Drizzle,Zone 6
411509,2017-06-14,16:51:05,16,1013,18,93,Drizzle,Zone 4
120966,2017-06-14,04:56:06,16,1013,18,93,Rain,Zone 1
544879,2017-06-18,01:26:03,16,1013,18,93,Precipitation,Zone 8
494189,2017-06-15,23:59:48,16,1013,18,93,Precipitation,Zone 5
454261,2017-06-13,18:27:33,16,1013,18,93,Precipitation,Zone 1
106515,2017-06-13,12:31:21,16,1013,18,93,Rain,Zone 7
87828,2017-06-12,15:17:06,16,1013,18,93,Rain,Zone 5
437852,2017-06-15,22:47:20,16,1013,18,93,Drizzle,Zone 8
544884,2017-06-18,01:26:03,16,1013,18,93,Precipitation,Zone 8
332936,2017-06-16,22:38:44,16,1013,18,93,Drizzle,Zone 8
331301,2017-06-16,20:47:44,16,1013,18,93,Drizzle,Zone 5
109458,2017-06-13,15:51:36,16,1013,18,93,Rain,Zone 8
196025,2017-06-17,18:14:06,8.6,1022,0,99,Fog,Zone 9
451154,2017-06-13,14:55:18,16,1013,18,93,Precipitation,Zone 5
147718,2017-06-15,11:20:06,16,1013,18,93,Rain,Zone 5
174440,2017-06-16,17:42:36,16,1013,18,93,Rain,Zone 5
478976,2017-06-14,22:32:48,16,1013,18,93,Precipitation,Zone 3
167343,2017-06-16,09:38:06,16,1013,18,93,Rain,Zone 9
507719,2017-06-16,07:12:33,16,1013,18,93,Precipitation,Zone 8
269843,2017-06-13,22:57:29,8.6,1022,0,99,Fog,Zone 3
370707,2017-06-12,18:29:20,16,1013,18,93,Drizzle,Zone 6
168272,2017-06-16,10:41:51,16,1013,18,93,Rain,Zone 6
524017,2017-06-17,01:43:18,16,1013,18,93,Precipitation,Zone 1
126006,2017-06-14,10:39:36,16,1013,18,93,Rain,Zone 5
260445,2017-06-13,12:16:14,8.6,1022,0,99,Fog,Zone 4
178188,2017-06-16,23:58:21,8.6,1022,0,99,Fog,Zone 5
74682,2017-06-12,00:20:51,16,1013,18,93,Rain,Zone 8
139510,2017-06-15,02:00:36,16,1013,18,93,Rain,Zone 5
187738,2017-06-17,08:48:36,8.6,1022,0,99,Fog,Zone 1
504540,2017-06-16,03:35:48,16,1013,18,93,Precipitation,Zone 6
222849,2017-06-19,00:42:36,8.6,1022,0,99,Fog,Zone 5
517269,2017-06-16,18:03:33,16,1013,18,93,Precipitation,Zone 7
74697,2017-06-12,00:21:36,16,1013,18,93,Rain,Zone 8
549044,2017-06-18,06:09:33,16,1013,18,93,Precipitation,Zone 5
354909,2017-06-17,23:37:14,16,1013,18,93,Drizzle,Zone 8
214263,2017-06-18,14:57:36,8.6,1022,0,99,Fog,Zone 2
402077,2017-06-14,06:08:20,16,1013,18,93,Drizzle,Zone 5
359648,2017-06-18,05:00:29,16,1013,18,93,Drizzle,Zone 8
107709,2017-06-13,13:52:21,16,1013,18,93,Rain,Zone 8
292182,2017-06-15,00:19:59,8.6,1022,0,99,Fog,Zone 5
407277,2017-06-14,12:03:05,16,1013,18,93,Drizzle,Zone 7
205297,2017-06-18,04:46:21,8.6,1022,0,99,Fog,Zone 5
367698,2017-06-12,15:03:50,16,1013,18,93,Drizzle,Zone 8
509159,2017-06-16,08:50:48,16,1013,18,93,Precipitation,Zone 8
324022,2017-06-16,12:31:14,8.6,1022,0,99,Fog,Zone 6
466990,2017-06-14,08:55:18,16,1013,18,93,Precipitation,Zone 4
180075,2017-06-17,00:06:36,8.6,1022,0,99,Fog,Zone 5
215184,2017-06-18,16:00:36,8.6,1022,0,99,Fog,Zone 2
251803,2017-06-13,02:27:29,8.6,1022,0,99,Fog,Zone 5
513735,2017-06-16,14:02:48,16,1013,18,93,Precipitation,Zone 8
235005,2017-06-12,07:21:29,8.6,1022,0,99,Fog,Zone 5
352936,2017-06-17,21:22:14,16,1013,18,93,Drizzle,Zone 2
329365,2017-06-16,18:35:44,8.6,1022,0,99,Fog,Zone 2
435734,2017-06-15,20:23:20,16,1013,18,93,Drizzle,Zone 5
503249,2017-06-16,02:07:18,16,1013,18,93,Precipitation,Zone 1
274576,2017-06-14,04:19:59,8.6,1022,0,99,Fog,Zone 5
248770,2017-06-12,23:00:29,8.6,1022,0,99,Fog,Zone 2
485297,2017-06-15,05:43:18,16,1013,18,93,Precipitation,Zone 2
99536,2017-06-13,04:35:06,16,1013,18,93,Rain,Zone 4
436369,2017-06-15,21:06:05,16,1013,18,93,Drizzle,Zone 5
354015,2017-06-17,22:36:29,16,1013,18,93,Drizzle,Zone 5
67582,2017-06-11,16:16:21,8.6,1022,0,99,Fog,Zone 8
262064,2017-06-13,14:06:29,8.6,1022,0,99,Fog,Zone 4
98006,2017-06-13,02:50:51,16,1013,18,93,Rain,Zone 4
446378,2017-06-16,08:28:35,16,1013,18,93,Drizzle,Zone 7
301157,2017-06-15,10:31:59,8.6,1022,0,99,Fog,Zone 5
275723,2017-06-14,05:37:59,8.6,1022,0,99,Fog,Zone 5
467452,2017-06-14,09:26:48,16,1013,18,93,Precipitation,Zone 4
286643,2017-06-14,18:02:44,8.6,1022,0,99,Fog,Zone 6
501375,2017-06-15,23:59:48,16,1013,18,93,Precipitation,Zone 2
63182,2017-06-11,15:53:50,16,1013,18,93,Rain,Zone 5
169672,2017-06-16,12:17:06,16,1013,18,93,Rain,Zone 5
413706,2017-06-14,19:21:05,16,1013,18,93,Drizzle,Zone 4
105546,2017-06-13,11:24:36,16,1013,18,93,Rain,Zone 7
543201,2017-06-17,23:31:18,16,1013,18,93,Precipitation,Zone 5
261482,2017-06-13,13:26:44,8.6,1022,0,99,Fog,Zone 7
261527,2017-06-13,13:30:29,8.6,1022,0,99,Fog,Zone 7
510332,2017-06-16,10:10:18,16,1013,18,93,Precipitation,Zone 8
283488,2017-06-14,14:27:29,8.6,1022,0,99,Fog,Zone 3
517486,2017-06-16,18:18:33,16,1013,18,93,Precipitation,Zone 7
276108,2017-06-14,06:04:14,8.6,1022,0,99,Fog,Zone 5
282559,2017-06-14,13:24:29,8.6,1022,0,99,Fog,Zone 4
62331,2017-06-16,02:55:33,16,1012,20,98,Overcast,Zone 8
68468,2017-06-11,17:17:06,8.6,1022,0,99,Fog,Zone 5
532027,2017-06-17,10:49:18,16,1013,18,93,Precipitation,Zone 8
262951,2017-06-13,15:07:14,8.6,1022,0,99,Fog,Zone 4
289628,2017-06-14,21:25:59,8.6,1022,0,99,Fog,Zone 6
485736,2017-06-15,06:13:18,16,1013,18,93,Precipitation,Zone 3
247144,2017-06-12,21:09:29,8.6,1022,0,99,Fog,Zone 2
431195,2017-06-15,15:13:35,16,1013,18,93,Drizzle,Zone 2
458326,2017-06-13,23:04:18,16,1013,18,93,Precipitation,Zone 2
205345,2017-06-18,04:49:21,8.6,1022,0,99,Fog,Zone 8
62334,2017-06-16,02:55:33,16,1012,20,98,Overcast,Zone 8
260367,2017-06-13,12:10:59,8.6,1022,0,99,Fog,Zone 4
258677,2017-06-13,10:15:29,8.6,1022,0,99,Fog,Zone 4
472492,2017-06-14,15:10:18,16,1013,18,93,Precipitation,Zone 5
546247,2017-06-18,02:59:03,16,1013,18,93,Precipitation,Zone 5
98155,2017-06-13,03:01:21,16,1013,18,93,Rain,Zone 4
363874,2017-06-12,10:43:35,16,1013,18,93,Drizzle,Zone 5
176357,2017-06-16,19:53:06,16,1013,18,93,Rain,Zone 9
191704,2017-06-17,13:19:21,8.6,1022,0,99,Fog,Zone 4
502974,2017-06-16,01:48:33,16,1013,18,93,Precipitation,Zone 1
493370,2017-06-15,14:53:48,16,1013,18,93,Precipitation,Zone 9
442096,2017-06-16,03:36:50,16,1013,18,93,Drizzle,Zone 5
303873,2017-06-15,13:37:14,8.6,1022,0,99,Fog,Zone 9
435756,2017-06-15,20:24:50,16,1013,18,93,Drizzle,Zone 5
345531,2017-06-17,12:57:29,16,1013,18,93,Drizzle,Zone 2
222206,2017-06-18,23:59:06,8.6,1022,0,99,Fog,Zone 6
267737,2017-06-13,20:33:29,8.6,1022,0,99,Fog,Zone 6
90723,2017-06-12,18:34:21,16,1013,18,93,Rain,Zone 2
135154,2017-06-14,21:03:36,16,1013,18,93,Rain,Zone 5
442844,2017-06-16,04:27:50,16,1013,18,93,Drizzle,Zone 7
156770,2017-06-15,21:37:21,16,1013,18,93,Rain,Zone 4
345778,2017-06-17,13:14:44,16,1013,18,93,Drizzle,Zone 2
523128,2017-06-17,00:42:33,16,1013,18,93,Precipitation,Zone 1
484898,2017-06-15,05:16:18,16,1013,18,93,Precipitation,Zone 3
237505,2017-06-12,10:12:29,8.6,1022,0,99,Fog,Zone 1
330304,2017-06-16,19:39:29,8.6,1022,0,99,Fog,Zone 2
436360,2017-06-15,21:05:20,16,1013,18,93,Drizzle,Zone 5
345487,2017-06-17,12:54:29,16,1013,18,93,Drizzle,Zone 2
529555,2017-06-17,08:01:18,16,1013,18,93,Precipitation,Zone 5
478158,2017-06-14,21:36:33,16,1013,18,93,Precipitation,Zone 2
75873,2017-06-12,01:41:51,16,1013,18,93,Rain,Zone 5
170954,2017-06-16,13:44:51,16,1013,18,93,Rain,Zone 8
69238,2017-06-11,18:09:36,8.6,1022,0,99,Fog,Zone 2
400642,2017-06-14,04:30:05,16,1013,18,93,Drizzle,Zone 6
380704,2017-06-13,05:51:05,16,1013,18,93,Drizzle,Zone 7
429704,2017-06-15,13:31:35,16,1013,18,93,Drizzle,Zone 5
349436,2017-06-17,17:23:44,16,1013,18,93,Drizzle,Zone 5
526628,2017-06-17,04:41:48,16,1013,18,93,Precipitation,Zone 4
478471,2017-06-14,21:58:18,16,1013,18,93,Precipitation,Zone 5
90978,2017-06-12,18:51:36,16,1013,18,93,Rain,Zone 2
410067,2017-06-14,15:12:50,16,1013,18,93,Drizzle,Zone 4
207066,2017-06-18,06:47:06,8.6,1022,0,99,Fog,Zone 2
446494,2017-06-16,08:36:50,16,1013,18,93,Drizzle,Zone 9
523132,2017-06-17,00:43:18,16,1013,18,93,Precipitation,Zone 1
219876,2017-06-18,21:20:06,8.6,1022,0,99,Fog,Zone 8
227315,2017-06-11,22:37:14,8.6,1022,0,99,Fog,Zone 2
191015,2017-06-17,12:32:06,8.6,1022,0,99,Fog,Zone 4
411705,2017-06-14,17:04:35,16,1013,18,93,Drizzle,Zone 7
259088,2017-06-13,10:43:59,8.6,1022,0,99,Fog,Zone 4
148609,2017-06-15,12:20:51,16,1013,18,93,Rain,Zone 9
149183,2017-06-15,12:59:51,16,1013,18,93,Rain,Zone 9
278146,2017-06-14,08:22:59,8.6,1022,0,99,Fog,Zone 4
398242,2017-06-14,01:46:35,16,1013,18,93,Drizzle,Zone 6
152817,2017-06-15,17:08:06,16,1013,18,93,Rain,Zone 9
220368,2017-06-18,21:53:51,8.6,1022,0,99,Fog,Zone 6
74654,2017-06-12,00:18:36,16,1013,18,93,Rain,Zone 5
98669,2017-06-13,03:35:51,16,1013,18,93,Rain,Zone 4
225761,2017-06-11,23:59:51,8.6,1022,0,99,Fog,Zone 5
244723,2017-06-12,18:24:29,8.6,1022,0,99,Fog,Zone 2
328926,2017-06-16,18:05:44,8.6,1022,0,99,Fog,Zone 4
432074,2017-06-15,16:13:35,16,1013,18,93,Drizzle,Zone 4
224075,2017-06-19,02:06:36,8.6,1022,0,99,Fog,Zone 2
453870,2017-06-13,18:00:33,16,1013,18,93,Precipitation,Zone 5
448396,2017-06-13,11:47:48,16,1013,18,93,Precipitation,Zone 3
162766,2017-06-16,04:26:06,16,1013,18,93,Rain,Zone 6
398065,2017-06-14,01:34:35,16,1013,18,93,Drizzle,Zone 6
372214,2017-06-12,20:12:05,16,1013,18,93,Drizzle,Zone 6
237126,2017-06-12,09:46:14,8.6,1022,0,99,Fog,Zone 4
163993,2017-06-16,05:50:06,16,1013,18,93,Rain,Zone 8
510914,2017-06-16,10:50:03,16,1013,18,93,Precipitation,Zone 8
510472,2017-06-16,10:20:03,16,1013,18,93,Precipitation,Zone 5
375050,2017-06-12,23:25:35,16,1013,18,93,Drizzle,Zone 8
242444,2017-06-12,15:49:14,8.6,1022,0,99,Fog,Zone 5
391766,2017-06-13,18:24:50,16,1013,18,93,Drizzle,Zone 8
234023,2017-06-12,06:14:44,8.6,1022,0,99,Fog,Zone 6
365813,2017-06-12,12:55:35,16,1013,18,93,Drizzle,Zone 2
294085,2017-06-15,02:29:44,8.6,1022,0,99,Fog,Zone 8
140232,2017-06-15,02:50:06,16,1013,18,93,Rain,Zone 4
107710,2017-06-13,13:52:21,16,1013,18,93,Rain,Zone 8
143098,2017-06-15,06:05:06,16,1013,18,93,Rain,Zone 4
530888,2017-06-17,09:32:03,16,1013,18,93,Precipitation,Zone 5
196254,2017-06-17,18:29:51,8.6,1022,0,99,Fog,Zone 5
228129,2017-06-11,23:32:44,8.6,1022,0,99,Fog,Zone 5
136853,2017-06-14,22:59:51,16,1013,18,93,Rain,Zone 8
335982,2017-06-17,02:06:29,16,1013,18,93,Drizzle,Zone 5
148742,2017-06-15,12:29:51,16,1013,18,93,Rain,Zone 9
364525,2017-06-12,11:27:50,16,1013,18,93,Drizzle,Zone 5
364167,2017-06-12,11:03:05,16,1013,18,93,Drizzle,Zone 5
319851,2017-06-16,07:46:59,8.6,1022,0,99,Fog,Zone 3
513570,2017-06-16,13:51:33,16,1013,18,93,Precipitation,Zone 8
218444,2017-06-18,19:42:36,8.6,1022,0,99,Fog,Zone 8
504418,2017-06-16,03:27:33,16,1013,18,93,Precipitation,Zone 6
84878,2017-06-12,11:56:06,16,1013,18,93,Rain,Zone 2
390879,2017-06-13,17:24:50,16,1013,18,93,Drizzle,Zone 7
196965,2017-06-17,19:17:51,8.6,1022,0,99,Fog,Zone 8
528162,2017-06-17,06:26:03,16,1013,18,93,Precipitation,Zone 5
201485,2017-06-18,00:26:06,8.6,1022,0,99,Fog,Zone 5
463887,2017-06-14,05:23:48,16,1013,18,93,Precipitation,Zone 2
160878,2017-06-16,02:17:51,16,1013,18,93,Rain,Zone 5
510272,2017-06-16,10:06:33,16,1013,18,93,Precipitation,Zone 8
532194,2017-06-17,11:01:18,16,1013,18,93,Precipitation,Zone 8
184497,2017-06-17,05:08:06,8.6,1022,0,99,Fog,Zone 2
367727,2017-06-12,15:06:05,16,1013,18,93,Drizzle,Zone 8
396143,2017-06-13,23:23:20,16,1013,18,93,Drizzle,Zone 8
274101,2017-06-14,03:47:44,8.6,1022,0,99,Fog,Zone 4
248757,2017-06-12,22:59:44,8.6,1022,0,99,Fog,Zone 2
118902,2017-06-14,02:35:51,16,1013,18,93,Rain,Zone 1
324494,2017-06-16,13:03:29,8.6,1022,0,99,Fog,Zone 6
272910,2017-06-14,02:25:59,8.6,1022,0,99,Fog,Zone 5
427602,2017-06-15,11:08:20,16,1013,18,93,Drizzle,Zone 8
507588,2017-06-16,07:03:33,16,1013,18,93,Precipitation,Zone 8
490078,2017-06-15,11:09:33,16,1013,18,93,Precipitation,Zone 6
439460,2017-06-16,00:36:50,16,1013,18,93,Drizzle,Zone 2
422668,2017-06-15,05:32:20,16,1013,18,93,Drizzle,Zone 8
261117,2017-06-13,13:01:59,8.6,1022,0,99,Fog,Zone 7
196455,2017-06-17,18:43:21,8.6,1022,0,99,Fog,Zone 5
250738,2017-06-13,01:14:44,8.6,1022,0,99,Fog,Zone 5
522729,2017-06-17,00:15:33,16,1013,18,93,Precipitation,Zone 4
508804,2017-06-16,08:26:03,16,1013,18,93,Precipitation,Zone 8
503170,2017-06-16,02:02:03,16,1013,18,93,Precipitation,Zone 1
351703,2017-06-17,19:58:14,16,1013,18,93,Drizzle,Zone 2
350234,2017-06-17,18:18:29,16,1013,18,93,Drizzle,Zone 2
311183,2017-06-15,21:55:59,8.6,1022,0,99,Fog,Zone 7
541308,2017-06-17,21:22:18,16,1013,18,93,Precipitation,Zone 5
365799,2017-06-12,12:54:50,16,1013,18,93,Drizzle,Zone 2
207335,2017-06-18,07:05:06,8.6,1022,0,99,Fog,Zone 2
280560,2017-06-14,11:07:59,8.6,1022,0,99,Fog,Zone 4
186462,2017-06-17,07:21:36,8.6,1022,0,99,Fog,Zone 5
311974,2017-06-15,22:49:59,8.6,1022,0,99,Fog,Zone 4
522525,2017-06-17,00:02:03,16,1013,18,93,Precipitation,Zone 4
161238,2017-06-16,02:41:51,16,1013,18,93,Rain,Zone 5
199421,2017-06-17,22:05:51,8.6,1022,0,99,Fog,Zone 8
286398,2017-06-14,17:46:14,8.6,1022,0,99,Fog,Zone 6
457926,2017-06-13,22:37:18,16,1013,18,93,Precipitation,Zone 5
410368,2017-06-14,15:33:50,16,1013,18,93,Drizzle,Zone 5
473955,2017-06-14,16:50:03,16,1013,18,93,Precipitation,Zone 5
234818,2017-06-12,07:08:44,8.6,1022,0,99,Fog,Zone 6
96949,2017-06-13,01:38:51,16,1013,18,93,Rain,Zone 4
422350,2017-06-15,05:10:35,16,1013,18,93,Drizzle,Zone 5
254805,2017-06-13,05:51:29,8.6,1022,0,99,Fog,Zone 7
166766,2017-06-16,08:59:06,16,1013,18,93,Rain,Zone 9
181880,2017-06-17,02:09:36,8.6,1022,0,99,Fog,Zone 2
444510,2017-06-16,06:21:05,16,1013,18,93,Drizzle,Zone 7
321203,2017-06-16,09:19:14,8.6,1022,0,99,Fog,Zone 9
341981,2017-06-17,08:55:59,16,1013,18,93,Drizzle,Zone 2
191449,2017-06-17,13:02:06,8.6,1022,0,99,Fog,Zone 7
82208,2017-06-12,08:53:51,16,1013,18,93,Rain,Zone 2
474315,2017-06-14,17:14:48,16,1013,18,93,Precipitation,Zone 5
406263,2017-06-14,10:53:20,16,1013,18,93,Drizzle,Zone 4
386201,2017-06-13,12:06:05,16,1013,18,93,Drizzle,Zone 8
510274,2017-06-16,10:06:33,16,1013,18,93,Precipitation,Zone 8
242488,2017-06-12,15:52:14,8.6,1022,0,99,Fog,Zone 5
250491,2017-06-13,00:57:29,8.6,1022,0,99,Fog,Zone 5
200642,2017-06-17,23:29:06,8.6,1022,0,99,Fog,Zone 2
432367,2017-06-15,16:33:05,16,1013,18,93,Drizzle,Zone 1
215395,2017-06-18,16:14:51,8.6,1022,0,99,Fog,Zone 2
454278,2017-06-13,18:28:18,16,1013,18,93,Precipitation,Zone 1
528124,2017-06-17,06:23:48,16,1013,18,93,Precipitation,Zone 5
430991,2017-06-15,14:59:20,16,1013,18,93,Drizzle,Zone 2
519793,2017-06-16,20:55:18,16,1013,18,93,Precipitation,Zone 5
77896,2017-06-12,03:59:51,16,1013,18,93,Rain,Zone 5
225352,2017-06-19,03:33:36,8.6,1022,0,99,Fog,Zone 2
281664,2017-06-14,12:22:59,8.6,1022,0,99,Fog,Zone 1
325029,2017-06-16,13:39:29,8.6,1022,0,99,Fog,Zone 6
132251,2017-06-14,17:45:36,16,1013,18,93,Rain,Zone 5
441510,2017-06-16,02:57:05,16,1013,18,93,Drizzle,Zone 8
92824,2017-06-12,20:57:36,16,1013,18,93,Rain,Zone 3
259898,2017-06-13,11:38:44,8.6,1022,0,99,Fog,Zone 4
221757,2017-06-18,23:28:21,8.6,1022,0,99,Fog,Zone 6
489953,2017-06-15,11:01:18,16,1013,18,93,Precipitation,Zone 6
93541,2017-06-12,21:46:21,16,1013,18,93,Rain,Zone 6
152167,2017-06-15,16:23:51,16,1013,18,93,Rain,Zone 9
506686,2017-06-16,06:02:03,16,1013,18,93,Precipitation,Zone 5
359840,2017-06-18,05:13:14,16,1013,18,93,Drizzle,Zone 8
200344,2017-06-17,23:08:06,8.6,1022,0,99,Fog,Zone 5
217596,2017-06-18,18:44:51,8.6,1022,0,99,Fog,Zone 8
160590,2017-06-16,01:57:36,16,1013,18,93,Rain,Zone 2
245491,2017-06-12,19:16:59,8.6,1022,0,99,Fog,Zone 2
342534,2017-06-17,09:33:29,16,1013,18,93,Drizzle,Zone 2
454883,2017-06-13,19:09:33,16,1013,18,93,Precipitation,Zone 5
373860,2017-06-12,22:04:35,16,1013,18,93,Drizzle,Zone 5
88669,2017-06-12,16:14:06,16,1013,18,93,Rain,Zone 6
136743,2017-06-14,22:52:21,16,1013,18,93,Rain,Zone 8
522148,2017-06-16,23:35:48,16,1013,18,93,Precipitation,Zone 4
217843,2017-06-18,19:01:21,8.6,1022,0,99,Fog,Zone 8
170197,2017-06-16,12:53:06,16,1013,18,93,Rain,Zone 5
463300,2017-06-14,04:44:03,16,1013,18,93,Precipitation,Zone 2
300764,2017-06-15,10:05:44,8.6,1022,0,99,Fog,Zone 2
357826,2017-06-18,02:55:59,16,1013,18,93,Drizzle,Zone 9
522099,2017-06-16,23:32:48,16,1013,18,93,Precipitation,Zone 4
378480,2017-06-13,03:19:35,16,1013,18,93,Drizzle,Zone 4
152448,2017-06-15,16:42:36,16,1013,18,93,Rain,Zone 9
286373,2017-06-14,17:43:59,8.6,1022,0,99,Fog,Zone 6
350715,2017-06-17,18:51:29,16,1013,18,93,Drizzle,Zone 5
488620,2017-06-15,09:29:48,16,1013,18,93,Precipitation,Zone 8
482956,2017-06-15,03:03:33,16,1013,18,93,Precipitation,Zone 2
230277,2017-06-12,01:59:44,8.6,1022,0,99,Fog,Zone 5
202260,2017-06-18,01:19:21,8.6,1022,0,99,Fog,Zone 5
199734,2017-06-17,22:26:51,8.6,1022,0,99,Fog,Zone 8
517297,2017-06-16,18:05:03,16,1013,18,93,Precipitation,Zone 7
500206,2017-06-15,22:40:18,16,1013,18,93,Precipitation,Zone 5
483555,2017-06-15,03:44:48,16,1013,18,93,Precipitation,Zone 5
290260,2017-06-14,22:09:29,8.6,1022,0,99,Fog,Zone 2
172991,2017-06-16,16:03:36,16,1013,18,93,Rain,Zone 6
263033,2017-06-13,15:12:29,8.6,1022,0,99,Fog,Zone 4
491963,2017-06-15,13:17:48,16,1013,18,93,Precipitation,Zone 9
423460,2017-06-15,06:26:20,16,1013,18,93,Drizzle,Zone 5
73494,2017-06-11,22:59:51,8.6,1022,0,99,Fog,Zone 3
